episode_index,scene,scene_episode_index,episode_id,goal,baseline_status,variant_status,transition
0,TEEsavR23oF,0,0,bed,false_positive,false_positive,failed->failed
1,TEEsavR23oF,1,4,bed,success,success,success->success
2,TEEsavR23oF,2,4,tv_monitor,success,success,success->success
3,TEEsavR23oF,3,4,plant,never_saw_target_traveled_stairs_feasible,never_saw_target_traveled_stairs_feasible,failed->failed
4,TEEsavR23oF,4,3,plant,false_positive,false_positive,failed->failed
5,TEEsavR23oF,5,2,tv_monitor,success,success,success->success
6,TEEsavR23oF,6,1,tv_monitor,success,success,success->success
7,qyAac8rV8Zk,0,2,toilet,false_positive,false_positive,failed->failed
8,qyAac8rV8Zk,1,0,tv_monitor,never_saw_target_traveled_stairs_likely_infeasible,never_saw_target_traveled_stairs_likely_infeasible,failed->failed
9,zt1RVoi7PcG,0,0,bed,false_positive,false_positive,failed->failed
10,zt1RVoi7PcG,1,0,chair,false_positive,false_positive,failed->failed
11,zt1RVoi7PcG,2,0,sofa,false_positive,false_positive,failed->failed
12,zt1RVoi7PcG,3,2,sofa,false_positive,false_positive,failed->failed
13,zt1RVoi7PcG,4,3,plant,never_saw_target_did_not_travel_stairs_likely_infeasible,never_saw_target_did_not_travel_stairs_likely_infeasible,failed->failed
14,4ok3usBNeis,0,0,tv_monitor,success,success,success->success
15,4ok3usBNeis,1,0,sofa,success,success,success->success
16,4ok3usBNeis,2,2,toilet,success,success,success->success
17,4ok3usBNeis,3,3,toilet,false_positive,success,failed->success
18,6s7QHgap2fW,0,3,toilet,false_positive,false_positive,failed->failed
19,6s7QHgap2fW,1,1,bed,false_positive,success,failed->success
20,6s7QHgap2fW,2,3,bed,success,success,success->success
21,6s7QHgap2fW,3,2,chair,false_positive,false_positive,failed->failed
22,DYehNKdT76V,0,4,plant,never_saw_target_did_not_travel_stairs_likely_infeasible,never_saw_target_did_not_travel_stairs_likely_infeasible,failed->failed
23,DYehNKdT76V,1,5,sofa,false_positive,false_positive,failed->failed
24,DYehNKdT76V,2,0,plant,never_saw_target_did_not_travel_stairs_likely_infeasible,never_saw_target_did_not_travel_stairs_likely_infeasible,failed->failed
25,p53SfW6mjZe,0,0,chair,false_positive,false_positive,failed->failed
26,p53SfW6mjZe,1,1,tv_monitor,success,success,success->success
27,p53SfW6mjZe,2,3,sofa,false_positive,false_positive,failed->failed
28,bxsVRursffK,0,5,toilet,success,success,success->success
29,bxsVRursffK,1,5,plant,never_saw_target_did_not_travel_stairs_likely_infeasible,never_saw_target_did_not_travel_stairs_likely_infeasible,failed->failed
30,bxsVRursffK,2,2,bed,success,success,success->success
31,bxsVRursffK,3,4,toilet,success,success,success->success
32,bxsVRursffK,4,4,sofa,success,success,success->success
33,bxsVRursffK,5,4,plant,never_saw_target_did_not_travel_stairs_likely_infeasible,never_saw_target_did_not_travel_stairs_likely_infeasible,failed->failed
34,cvZr5TUy5C5,0,2,chair,never_saw_target_did_not_travel_stairs_feasible,never_saw_target_did_not_travel_stairs_feasible,failed->failed
35,cvZr5TUy5C5,1,2,toilet,false_positive,false_positive,failed->failed
36,cvZr5TUy5C5,2,2,bed,success,success,success->success
37,wcojb4TFT35,0,2,sofa,false_positive,false_positive,failed->failed
38,wcojb4TFT35,1,0,plant,never_saw_target_traveled_stairs_likely_infeasible,never_saw_target_traveled_stairs_likely_infeasible,failed->failed
39,wcojb4TFT35,2,0,toilet,false_positive,false_positive,failed->failed
40,wcojb4TFT35,3,3,chair,false_positive,false_positive,failed->failed
41,wcojb4TFT35,4,2,chair,success,success,success->success
42,5cdEh9F2hJL,0,4,plant,never_saw_target_did_not_travel_stairs_feasible,never_saw_target_did_not_travel_stairs_feasible,failed->failed
43,5cdEh9F2hJL,1,0,toilet,false_positive,false_positive,failed->failed
44,5cdEh9F2hJL,2,2,plant,never_saw_target_did_not_travel_stairs_feasible,never_saw_target_did_not_travel_stairs_feasible,failed->failed
45,XB4GS9ShBRE,0,3,tv_monitor,false_positive,false_positive,failed->failed
46,XB4GS9ShBRE,1,1,chair,never_saw_target_did_not_travel_stairs_likely_infeasible,never_saw_target_did_not_travel_stairs_likely_infeasible,failed->failed
47,QaLdnwvtxbs,0,1,bed,false_positive,false_positive,failed->failed
48,QaLdnwvtxbs,1,3,bed,false_positive,false_positive,failed->failed
49,QaLdnwvtxbs,2,1,sofa,false_positive,false_positive,failed->failed
50,QaLdnwvtxbs,3,3,toilet,false_positive,false_positive,failed->failed
51,QaLdnwvtxbs,4,1,chair,false_positive,false_positive,failed->failed
52,QaLdnwvtxbs,5,4,tv_monitor,success,success,success->success
53,QaLdnwvtxbs,6,5,chair,false_positive,false_positive,failed->failed
54,QaLdnwvtxbs,7,3,chair,success,success,success->success
55,QaLdnwvtxbs,8,4,toilet,false_positive,false_positive,failed->failed
56,svBbv1Pavdk,0,3,chair,success,success,success->success
57,svBbv1Pavdk,1,1,sofa,success,success,success->success
58,svBbv1Pavdk,2,3,sofa,success,success,success->success
59,svBbv1Pavdk,3,3,bed,success,success,success->success
60,svBbv1Pavdk,4,2,toilet,success,success,success->success
61,svBbv1Pavdk,5,3,toilet,success,success,success->success
62,mL8ThkuaVTM,0,4,bed,false_positive,false_positive,failed->failed
63,mL8ThkuaVTM,1,1,plant,false_positive,false_positive,failed->failed
64,mL8ThkuaVTM,2,4,toilet,success,success,success->success
65,mL8ThkuaVTM,3,3,toilet,false_positive,false_positive,failed->failed
66,mL8ThkuaVTM,4,4,sofa,false_positive,false_positive,failed->failed
67,mL8ThkuaVTM,5,0,plant,success,never_saw_target_traveled_stairs_likely_infeasible,success->failed
68,mL8ThkuaVTM,6,0,sofa,false_positive,false_positive,failed->failed
69,mL8ThkuaVTM,7,0,bed,false_positive,false_positive,failed->failed
70,mL8ThkuaVTM,8,3,sofa,false_positive,false_positive,failed->failed
71,mL8ThkuaVTM,9,3,plant,false_positive,false_positive,failed->failed
72,mL8ThkuaVTM,10,2,sofa,false_positive,false_positive,failed->failed
73,mv2HUxq3B53,0,2,bed,success,success,success->success
74,mv2HUxq3B53,1,4,bed,success,success,success->success
75,mv2HUxq3B53,2,4,plant,never_saw_target_did_not_travel_stairs_likely_infeasible,never_saw_target_did_not_travel_stairs_likely_infeasible,failed->failed
76,mv2HUxq3B53,3,3,bed,success,success,success->success
77,mv2HUxq3B53,4,3,toilet,never_saw_target_did_not_travel_stairs_feasible,never_saw_target_did_not_travel_stairs_feasible,failed->failed
78,mv2HUxq3B53,5,0,tv_monitor,success,success,success->success
79,Nfvxx8J5NCo,0,4,tv_monitor,false_positive,never_saw_target_did_not_travel_stairs_likely_infeasible,failed->failed
80,Nfvxx8J5NCo,1,1,chair,false_positive,false_positive,failed->failed
81,Nfvxx8J5NCo,2,5,toilet,false_positive,false_positive,failed->failed
82,Nfvxx8J5NCo,3,3,sofa,false_positive,false_positive,failed->failed
83,Nfvxx8J5NCo,4,2,bed,false_positive,false_positive,failed->failed
84,Nfvxx8J5NCo,5,2,chair,false_positive,false_positive,failed->failed
85,Nfvxx8J5NCo,6,5,tv_monitor,false_positive,never_saw_target_did_not_travel_stairs_likely_infeasible,failed->failed
86,ziup5kvtCCR,0,1,toilet,success,success,success->success
87,ziup5kvtCCR,1,0,sofa,success,success,success->success
88,q3zU7Yy5E5s,0,4,bed,success,success,success->success
89,q3zU7Yy5E5s,1,3,toilet,never_saw_target_did_not_travel_stairs_feasible,never_saw_target_did_not_travel_stairs_feasible,failed->failed
90,q3zU7Yy5E5s,2,4,toilet,success,success,success->success
91,q3zU7Yy5E5s,3,6,sofa,success,success,success->success
92,Dd4bFSTQ8gi,0,0,toilet,success,success,success->success
93,Dd4bFSTQ8gi,1,2,plant,success,success,success->success
94,Dd4bFSTQ8gi,2,1,bed,success,success,success->success
95,Dd4bFSTQ8gi,3,3,bed,success,success,success->success
96,Dd4bFSTQ8gi,4,2,sofa,success,success,success->success
97,Dd4bFSTQ8gi,5,1,toilet,success,success,success->success
98,Dd4bFSTQ8gi,6,4,sofa,success,success,success->success
99,Dd4bFSTQ8gi,7,0,chair,false_positive,success,failed->success
